A - I0.0,B - I0.1,C - I0.2,D - I0.3,Weighted Total,Q0.3 - Bit 8,Q0.2 - Bit 4,Q0.1 - Bit 2,Q0.0 - Bit 1,BCD Output,Seven-Segment Display,Logic Verification
0,0,0,0,0,0,0,0,0,0000,Blank,PASS
0,0,0,1,4,0,1,0,0,0100,4,PASS
0,0,1,0,2,0,0,1,0,0010,2,PASS
0,0,1,1,6,0,1,1,0,0110,6,PASS
0,1,0,0,2,0,0,1,0,0010,2,PASS
0,1,0,1,6,0,1,1,0,0110,6,PASS
0,1,1,0,4,0,1,0,0,0100,4,PASS
0,1,1,1,8,1,0,0,0,1000,8,PASS
1,0,0,0,1,0,0,0,1,0001,1,PASS
1,0,0,1,5,0,1,0,1,0101,5,PASS
1,0,1,0,3,0,0,1,1,0011,3,PASS
1,0,1,1,7,0,1,1,1,0111,7,PASS
1,1,0,0,3,0,0,1,1,0011,3,PASS
1,1,0,1,7,0,1,1,1,0111,7,PASS
1,1,1,0,5,0,1,0,1,0101,5,PASS
1,1,1,1,9,1,0,0,1,1001,9,PASS
